"id";"date";"amount";"purpose";"counterparty_id";"article_id"
"t50";"2025-01-16";"5460";"Приход в кассу: выручка от реализации за 16.01.2025 (наличный расчёт)";"c2";"a2"
"t51";"2025-01-16";"16750";"Зачисление эквайринга/СБП за 16.01.2025 (терминал №1)";"c3";"a3"
"t52";"2025-01-16";"-7300";"Оплата поставки выпечки по накладной №2008 от 16.01.2025";"c4";"a4"
"t53";"2025-01-17";"6130";"Приход в кассу: выручка от реализации за 17.01.2025 (наличный расчёт)";"c2";"a2"
"t54";"2025-01-17";"18800";"Зачисление эквайринга/СБП за 17.01.2025 (терминал №1)";"c3";"a3"
"t55";"2025-01-17";"-9400";"Оплата молочной продукции по счёту №505 от 17.01.2025";"c6";"a6"
"t56";"2025-01-18";"7800";"Приход в кассу: выручка от реализации за 18.01.2025 (наличный расчёт)";"c2";"a2"
"t57";"2025-01-18";"23980";"Зачисление эквайринга/СБП за 18.01.2025 (терминал №1)";"c3";"a3"
"t58";"2025-01-18";"-7400";"Оплата поставки выпечки по накладной №2009 от 18.01.2025";"c4";"a4"
"t59";"2025-01-19";"6400";"Приход в кассу: выручка от реализации за 19.01.2025 (наличный расчёт)";"c2";"a2"
"t60";"2025-01-19";"19700";"Зачисление эквайринга/СБП за 19.01.2025 (терминал №1)";"c3";"a3"
"t61";"2025-01-20";"5900";"Приход в кассу: выручка от реализации за 20.01.2025 (наличный расчёт)";"c2";"a2"
"t62";"2025-01-20";"18190";"Зачисление эквайринга/СБП за 20.01.2025 (терминал №1)";"c3";"a3"
"t63";"2025-01-20";"-7300";"Оплата поставки выпечки по накладной №2010 от 20.01.2025";"c4";"a4"
"t64";"2025-01-20";"-6400";"Продвижение в соцсетях/таргетированная реклама, 01.2025";"c14";"a14"
"t65";"2025-01-21";"6050";"Приход в кассу: выручка от реализации за 21.01.2025 (наличный расчёт)";"c2";"a2"
"t66";"2025-01-21";"18700";"Зачисление эквайринга/СБП за 21.01.2025 (терминал №1)";"c3";"a3"
"t67";"2025-01-21";"-15800";"Оплата поставки кофе в зёрнах по счёту №1003 от 19.01.2025";"c10";"a10"
"t68";"2025-01-21";"-9400";"Оплата молочной продукции по счёту №506 от 21.01.2025";"c6";"a6"
"t69";"2025-01-22";"6940";"Приход в кассу: выручка от реализации за 22.01.2025 (наличный расчёт)";"c2";"a2"
"t70";"2025-01-22";"21450";"Зачисление эквайринга/СБП за 22.01.2025 (терминал №1)";"c3";"a3"
"t71";"2025-01-22";"-6700";"Оплата поставки выпечки по накладной №2011 от 22.01.2025";"c4";"a4"
"t72";"2025-01-23";"6890";"Приход в кассу: выручка от реализации за 23.01.2025 (наличный расчёт)";"c2";"a2"
"t73";"2025-01-23";"21340";"Зачисление эквайринга/СБП за 23.01.2025 (терминал №1)";"c3";"a3"
"t74";"2025-01-24";"6060";"Приход в кассу: выручка от реализации за 24.01.2025 (наличный расчёт)";"c2";"a2"
"t75";"2025-01-24";"18790";"Зачисление эквайринга/СБП за 24.01.2025 (терминал №1)";"c3";"a3"
"t76";"2025-01-24";"-9300";"Оплата молочной продукции по счёту №507 от 24.01.2025";"c6";"a6"
"t77";"2025-01-24";"-7300";"Оплата поставки выпечки по накладной №2012 от 24.01.2025";"c4";"a4"
"t78";"2025-01-24";"-12200";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №302";"c11";"a11"
"t79";"2025-01-25";"7350";"Приход в кассу: выручка от реализации за 25.01.2025 (наличный расчёт)";"c2";"a2"
"t80";"2025-01-25";"22830";"Зачисление эквайринга/СБП за 25.01.2025 (терминал №1)";"c3";"a3"
"t81";"2025-01-25";"-16800";"Аванс за January 2025";"c15";"a15"
"t82";"2025-01-25";"-16800";"Аванс за January 2025";"c16";"a15"
"t83";"2025-01-25";"-16800";"Аванс за January 2025";"c17";"a15"
"t84";"2025-01-25";"-16800";"Аванс за January 2025";"c18";"a15"
"t85";"2025-01-26";"7290";"Приход в кассу: выручка от реализации за 26.01.2025 (наличный расчёт)";"c2";"a2"
"t86";"2025-01-26";"22690";"Зачисление эквайринга/СБП за 26.01.2025 (терминал №1)";"c3";"a3"
"t87";"2025-01-26";"-7900";"Оплата поставки выпечки по накладной №2013 от 26.01.2025";"c4";"a4"
"t88";"2025-01-27";"5810";"Приход в кассу: выручка от реализации за 27.01.2025 (наличный расчёт)";"c2";"a2"
"t89";"2025-01-27";"18090";"Зачисление эквайринга/СБП за 27.01.2025 (терминал №1)";"c3";"a3"
"t90";"2025-01-28";"5480";"Приход в кассу: выручка от реализации за 28.01.2025 (наличный расчёт)";"c2";"a2"
"t91";"2025-01-28";"17110";"Зачисление эквайринга/СБП за 28.01.2025 (терминал №1)";"c3";"a3"
"t92";"2025-01-28";"-78500";"Уплата ЕНП: страховые взносы и НДФЛ за December 2024";"c19";"a16"
"t93";"2025-01-28";"-14700";"Оплата поставки кофе в зёрнах по счёту №1004 от 26.01.2025";"c10";"a10"
"t94";"2025-01-28";"-9400";"Оплата молочной продукции по счёту №508 от 28.01.2025";"c6";"a6"
"t95";"2025-01-28";"-7700";"Оплата поставки выпечки по накладной №2014 от 28.01.2025";"c4";"a4"
"t96";"2025-01-29";"6020";"Приход в кассу: выручка от реализации за 29.01.2025 (наличный расчёт)";"c2";"a2"
"t97";"2025-01-29";"18810";"Зачисление эквайринга/СБП за 29.01.2025 (терминал №1)";"c3";"a3"
"t98";"2025-01-30";"6170";"Приход в кассу: выручка от реализации за 30.01.2025 (наличный расчёт)";"c2";"a2"
"t99";"2025-01-30";"19300";"Зачисление эквайринга/СБП за 30.01.2025 (терминал №1)";"c3";"a3"
"t100";"2025-01-30";"-7300";"Оплата поставки выпечки по накладной №2015 от 30.01.2025";"c4";"a4"
"t101";"2025-01-31";"6380";"Приход в кассу: выручка от реализации за 31.01.2025 (наличный расчёт)";"c2";"a2"
"t102";"2025-01-31";"19990";"Зачисление эквайринга/СБП за 31.01.2025 (терминал №1)";"c3";"a3"
"t103";"2025-01-31";"-9200";"Оплата молочной продукции по счёту №509 от 31.01.2025";"c6";"a6"
"t104";"2025-02-01";"7260";"Приход в кассу: выручка от реализации за 01.02.2025 (наличный расчёт)";"c2";"a2"
"t105";"2025-02-01";"22760";"Зачисление эквайринга/СБП за 01.02.2025 (терминал №1)";"c3";"a3"
"t106";"2025-02-01";"-7900";"Оплата поставки выпечки по накладной №2016 от 01.02.2025";"c4";"a4"
"t107";"2025-02-02";"6200";"Приход в кассу: выручка от реализации за 02.02.2025 (наличный расчёт)";"c2";"a2"
"t108";"2025-02-02";"19500";"Зачисление эквайринга/СБП за 02.02.2025 (терминал №1)";"c3";"a3"
"t109";"2025-02-03";"6810";"Приход в кассу: выручка от реализации за 03.02.2025 (наличный расчёт)";"c2";"a2"
"t110";"2025-02-03";"21420";"Зачисление эквайринга/СБП за 03.02.2025 (терминал №1)";"c3";"a3"
"t111";"2025-02-03";"-7800";"Оплата поставки выпечки по накладной №2017 от 03.02.2025";"c4";"a4"
"t112";"2025-02-03";"-3900";"Оплата подписки на кассовое ПО/CRM, 02.2025";"c7";"a7"
"t113";"2025-02-04";"6290";"Приход в кассу: выручка от реализации за 04.02.2025 (наличный расчёт)";"c2";"a2"
"t114";"2025-02-04";"19840";"Зачисление эквайринга/СБП за 04.02.2025 (терминал №1)";"c3";"a3"
"t115";"2025-02-04";"-15900";"Оплата поставки кофе в зёрнах по счёту №1005 от 02.02.2025";"c10";"a10"
"t116";"2025-02-04";"-8500";"Оплата молочной продукции по счёту №510 от 04.02.2025";"c6";"a6"
"t117";"2025-02-04";"-1990";"Абонентская плата за расчётно-кассовое обслуживание, 02.2025";"c8";"a8"
"t118";"2025-02-05";"6190";"Приход в кассу: выручка от реализации за 05.02.2025 (наличный расчёт)";"c2";"a2"
"t119";"2025-02-05";"19530";"Зачисление эквайринга/СБП за 05.02.2025 (терминал №1)";"c3";"a3"
"t120";"2025-02-05";"-108000";"Оплата по договору аренды №14 от 01.02.2024 за 02.2025";"c9";"a9"
"t121";"2025-02-05";"-7600";"Оплата поставки выпечки по накладной №2018 от 05.02.2025";"c4";"a4"
"t122";"2025-02-06";"6100";"Приход в кассу: выручка от реализации за 06.02.2025 (наличный расчёт)";"c2";"a2"
"t123";"2025-02-06";"19260";"Зачисление эквайринга/СБП за 06.02.2025 (терминал №1)";"c3";"a3"
"t124";"2025-02-07";"7420";"Приход в кассу: выручка от реализации за 07.02.2025 (наличный расчёт)";"c2";"a2"
"t125";"2025-02-07";"23470";"Зачисление эквайринга/СБП за 07.02.2025 (терминал №1)";"c3";"a3"
"t126";"2025-02-07";"-8600";"Оплата молочной продукции по счёту №511 от 07.02.2025";"c6";"a6"
"t127";"2025-02-07";"-6800";"Оплата поставки выпечки по накладной №2019 от 07.02.2025";"c4";"a4"
"t128";"2025-02-07";"-11200";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №303";"c11";"a11"
"t129";"2025-02-08";"6980";"Приход в кассу: выручка от реализации за 08.02.2025 (наличный расчёт)";"c2";"a2"
"t130";"2025-02-08";"22140";"Зачисление эквайринга/СБП за 08.02.2025 (терминал №1)";"c3";"a3"
"t131";"2025-02-09";"7480";"Приход в кассу: выручка от реализации за 09.02.2025 (наличный расчёт)";"c2";"a2"
"t132";"2025-02-09";"23740";"Зачисление эквайринга/СБП за 09.02.2025 (терминал №1)";"c3";"a3"
"t133";"2025-02-09";"-7200";"Оплата поставки выпечки по накладной №2020 от 09.02.2025";"c4";"a4"
"t134";"2025-02-10";"5750";"Приход в кассу: выручка от реализации за 10.02.2025 (наличный расчёт)";"c2";"a2"
"t135";"2025-02-10";"18290";"Зачисление эквайринга/СБП за 10.02.2025 (терминал №1)";"c3";"a3"
"t136";"2025-02-10";"-25200";"Заработная плата за January 2025 (окончательный расчёт)";"c15";"a15"
"t137";"2025-02-10";"-25200";"Заработная плата за January 2025 (окончательный расчёт)";"c16";"a15"
"t138";"2025-02-10";"-25200";"Заработная плата за January 2025 (окончательный расчёт)";"c17";"a15"
"t139";"2025-02-10";"-25200";"Заработная плата за January 2025 (окончательный расчёт)";"c18";"a15"
"t140";"2025-02-11";"6470";"Приход в кассу: выручка от реализации за 11.02.2025 (наличный расчёт)";"c2";"a2"
"t141";"2025-02-11";"20610";"Зачисление эквайринга/СБП за 11.02.2025 (терминал №1)";"c3";"a3"
"t142";"2025-02-11";"-14500";"Оплата поставки кофе в зёрнах по счёту №1006 от 09.02.2025";"c10";"a10"
"t143";"2025-02-11";"-9200";"Оплата молочной продукции по счёту №512 от 11.02.2025";"c6";"a6"
"t144";"2025-02-11";"-6800";"Оплата поставки выпечки по накладной №2021 от 11.02.2025";"c4";"a4"
"t145";"2025-02-12";"5700";"Приход в кассу: выручка от реализации за 12.02.2025 (наличный расчёт)";"c2";"a2"
"t146";"2025-02-12";"18190";"Зачисление эквайринга/СБП за 12.02.2025 (терминал №1)";"c3";"a3"
"t147";"2025-02-12";"-21500";"Оплата коммунальных услуг за January 2025";"c12";"a12"
"t148";"2025-02-13";"5950";"Приход в кассу: выручка от реализации за 13.02.2025 (наличный расчёт)";"c2";"a2"
"t149";"2025-02-13";"18990";"Зачисление эквайринга/СБП за 13.02.2025 (терминал №1)";"c3";"a3"
"t150";"2025-02-13";"-8200";"Оплата поставки выпечки по накладной №2022 от 13.02.2025";"c4";"a4"
"t151";"2025-02-14";"6930";"Приход в кассу: выручка от реализации за 14.02.2025 (наличный расчёт)";"c2";"a2"
"t152";"2025-02-14";"22170";"Зачисление эквайринга/СБП за 14.02.2025 (терминал №1)";"c3";"a3"
"t153";"2025-02-14";"-8600";"Оплата молочной продукции по счёту №513 от 14.02.2025";"c6";"a6"
"t154";"2025-02-15";"8310";"Приход в кассу: выручка от реализации за 15.02.2025 (наличный расчёт)";"c2";"a2"
"t155";"2025-02-15";"26620";"Зачисление эквайринга/СБП за 15.02.2025 (терминал №1)";"c3";"a3"
"t156";"2025-02-15";"-8200";"Оплата поставки выпечки по накладной №2023 от 15.02.2025";"c4";"a4"
"t157";"2025-02-15";"-2600";"Абонентская плата за интернет и связь, 02.2025";"c13";"a13"
"t158";"2025-02-16";"6570";"Приход в кассу: выручка от реализации за 16.02.2025 (наличный расчёт)";"c2";"a2"
"t159";"2025-02-16";"21080";"Зачисление эквайринга/СБП за 16.02.2025 (терминал №1)";"c3";"a3"
"t160";"2025-02-17";"5840";"Приход в кассу: выручка от реализации за 17.02.2025 (наличный расчёт)";"c2";"a2"
"t161";"2025-02-17";"18750";"Зачисление эквайринга/СБП за 17.02.2025 (терминал №1)";"c3";"a3"
"t162";"2025-02-17";"-6900";"Оплата поставки выпечки по накладной №2024 от 17.02.2025";"c4";"a4"
"t163";"2025-02-18";"6070";"Приход в кассу: выручка от реализации за 18.02.2025 (наличный расчёт)";"c2";"a2"
"t164";"2025-02-18";"19540";"Зачисление эквайринга/СБП за 18.02.2025 (терминал №1)";"c3";"a3"
"t165";"2025-02-18";"-15900";"Оплата поставки кофе в зёрнах по счёту №1007 от 16.02.2025";"c10";"a10"
"t166";"2025-02-18";"-10000";"Оплата молочной продукции по счёту №514 от 18.02.2025";"c6";"a6"
"t167";"2025-02-18";"-7000";"Ремонт и техническое обслуживание кофемашины/кофемолки";"c20";"a17"
"t168";"2025-02-19";"5760";"Приход в кассу: выручка от реализации за 19.02.2025 (наличный расчёт)";"c2";"a2"
"t169";"2025-02-19";"18580";"Зачисление эквайринга/СБП за 19.02.2025 (терминал №1)";"c3";"a3"
"t170";"2025-02-19";"-8200";"Оплата поставки выпечки по накладной №2025 от 19.02.2025";"c4";"a4"
"t171";"2025-02-20";"6200";"Приход в кассу: выручка от реализации за 20.02.2025 (наличный расчёт)";"c2";"a2"
"t172";"2025-02-20";"19990";"Зачисление эквайринга/СБП за 20.02.2025 (терминал №1)";"c3";"a3"
"t173";"2025-02-20";"-8800";"Продвижение в соцсетях/таргетированная реклама, 02.2025";"c14";"a14"
"t174";"2025-02-21";"7700";"Приход в кассу: выручка от реализации за 21.02.2025 (наличный расчёт)";"c2";"a2"
"t175";"2025-02-21";"24900";"Зачисление эквайринга/СБП за 21.02.2025 (терминал №1)";"c3";"a3"
"t176";"2025-02-21";"-8800";"Оплата молочной продукции по счёту №515 от 21.02.2025";"c6";"a6"
"t177";"2025-02-21";"-6800";"Оплата поставки выпечки по накладной №2026 от 21.02.2025";"c4";"a4"
"t178";"2025-02-21";"-12300";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №304";"c11";"a11"
"t179";"2025-02-22";"7140";"Приход в кассу: выручка от реализации за 22.02.2025 (наличный расчёт)";"c2";"a2"
"t180";"2025-02-22";"23100";"Зачисление эквайринга/СБП за 22.02.2025 (терминал №1)";"c3";"a3"
"t181";"2025-02-23";"6890";"Приход в кассу: выручка от реализации за 23.02.2025 (наличный расчёт)";"c2";"a2"
"t182";"2025-02-23";"22320";"Зачисление эквайринга/СБП за 23.02.2025 (терминал №1)";"c3";"a3"
"t183";"2025-02-23";"-7400";"Оплата поставки выпечки по накладной №2027 от 23.02.2025";"c4";"a4"
"t184";"2025-02-24";"5190";"Приход в кассу: выручка от реализации за 24.02.2025 (наличный расчёт)";"c2";"a2"
"t185";"2025-02-24";"16840";"Зачисление эквайринга/СБП за 24.02.2025 (терминал №1)";"c3";"a3"
"t186";"2025-02-25";"5920";"Приход в кассу: выручка от реализации за 25.02.2025 (наличный расчёт)";"c2";"a2"
"t187";"2025-02-25";"19260";"Зачисление эквайринга/СБП за 25.02.2025 (терминал №1)";"c3";"a3"
"t188";"2025-02-25";"-16800";"Аванс за February 2025";"c15";"a15"
"t189";"2025-02-25";"-16800";"Аванс за February 2025";"c16";"a15"
"t190";"2025-02-25";"-16800";"Аванс за February 2025";"c17";"a15"
"t191";"2025-02-25";"-16800";"Аванс за February 2025";"c18";"a15"
"t192";"2025-02-25";"-16800";"Оплата поставки кофе в зёрнах по счёту №1008 от 23.02.2025";"c10";"a10"
"t193";"2025-02-25";"-8800";"Оплата молочной продукции по счёту №516 от 25.02.2025";"c6";"a6"
"t194";"2025-02-25";"-8000";"Оплата поставки выпечки по накладной №2028 от 25.02.2025";"c4";"a4"
"t195";"2025-02-26";"5360";"Приход в кассу: выручка от реализации за 26.02.2025 (наличный расчёт)";"c2";"a2"
"t196";"2025-02-26";"17460";"Зачисление эквайринга/СБП за 26.02.2025 (терминал №1)";"c3";"a3"
"t197";"2025-02-27";"5740";"Приход в кассу: выручка от реализации за 27.02.2025 (наличный расчёт)";"c2";"a2"
"t198";"2025-02-27";"18710";"Зачисление эквайринга/СБП за 27.02.2025 (терминал №1)";"c3";"a3"
"t199";"2025-02-27";"-8000";"Оплата поставки выпечки по накладной №2029 от 27.02.2025";"c4";"a4"
"t200";"2025-02-28";"7160";"Приход в кассу: выручка от реализации за 28.02.2025 (наличный расчёт)";"c2";"a2"
"t201";"2025-02-28";"23360";"Зачисление эквайринга/СБП за 28.02.2025 (терминал №1)";"c3";"a3"
"t202";"2025-02-28";"-72600";"Уплата ЕНП: страховые взносы и НДФЛ за January 2025";"c19";"a16"
"t203";"2025-02-28";"-8700";"Оплата молочной продукции по счёту №517 от 28.02.2025";"c6";"a6"
"t204";"2025-03-01";"7040";"Приход в кассу: выручка от реализации за 01.03.2025 (наличный расчёт)";"c2";"a2"
"t205";"2025-03-01";"23020";"Зачисление эквайринга/СБП за 01.03.2025 (терминал №1)";"c3";"a3"
"t206";"2025-03-01";"-8300";"Оплата поставки выпечки по накладной №2030 от 01.03.2025";"c4";"a4"
"t207";"2025-03-02";"6000";"Приход в кассу: выручка от реализации за 02.03.2025 (наличный расчёт)";"c2";"a2"
"t208";"2025-03-02";"19640";"Зачисление эквайринга/СБП за 02.03.2025 (терминал №1)";"c3";"a3"
"t209";"2025-03-03";"5900";"Приход в кассу: выручка от реализации за 03.03.2025 (наличный расчёт)";"c2";"a2"
"t210";"2025-03-03";"19360";"Зачисление эквайринга/СБП за 03.03.2025 (терминал №1)";"c3";"a3"
"t211";"2025-03-03";"-7800";"Оплата поставки выпечки по накладной №2031 от 03.03.2025";"c4";"a4"
"t212";"2025-03-03";"-3900";"Оплата подписки на кассовое ПО/CRM, 03.2025";"c7";"a7"
"t213";"2025-03-04";"4800";"Приход в кассу: выручка от реализации за 04.03.2025 (наличный расчёт)";"c2";"a2"
"t214";"2025-03-04";"15780";"Зачисление эквайринга/СБП за 04.03.2025 (терминал №1)";"c3";"a3"
"t215";"2025-03-04";"-15300";"Оплата поставки кофе в зёрнах по счёту №1009 от 02.03.2025";"c10";"a10"
"t216";"2025-03-04";"-9600";"Оплата молочной продукции по счёту №518 от 04.03.2025";"c6";"a6"
"t217";"2025-03-04";"-1990";"Абонентская плата за расчётно-кассовое обслуживание, 03.2025";"c8";"a8"
"t218";"2025-03-05";"5710";"Приход в кассу: выручка от реализации за 05.03.2025 (наличный расчёт)";"c2";"a2"
"t219";"2025-03-05";"18780";"Зачисление эквайринга/СБП за 05.03.2025 (терминал №1)";"c3";"a3"
"t220";"2025-03-05";"-108000";"Оплата по договору аренды №14 от 01.02.2024 за 03.2025";"c9";"a9"
"t221";"2025-03-05";"-7500";"Оплата поставки выпечки по накладной №2032 от 05.03.2025";"c4";"a4"
"t222";"2025-03-06";"5420";"Приход в кассу: выручка от реализации за 06.03.2025 (наличный расчёт)";"c2";"a2"
"t223";"2025-03-06";"17870";"Зачисление эквайринга/СБП за 06.03.2025 (терминал №1)";"c3";"a3"
"t224";"2025-03-07";"6170";"Приход в кассу: выручка от реализации за 07.03.2025 (наличный расчёт)";"c2";"a2"
"t225";"2025-03-07";"20360";"Зачисление эквайринга/СБП за 07.03.2025 (терминал №1)";"c3";"a3"
"t226";"2025-03-07";"-8900";"Оплата молочной продукции по счёту №519 от 07.03.2025";"c6";"a6"
"t227";"2025-03-07";"-8400";"Оплата поставки выпечки по накладной №2033 от 07.03.2025";"c4";"a4"
"t228";"2025-03-07";"-12800";"Оплата расходных материалов (стаканы, крышки, трубочки) по счёту №305";"c11";"a11"
"t229";"2025-03-08";"8060";"Приход в кассу: выручка от реализации за 08.03.2025 (наличный расчёт)";"c2";"a2"
"t230";"2025-03-08";"26650";"Зачисление эквайринга/СБП за 08.03.2025 (терминал №1)";"c3";"a3"
"t231";"2025-03-09";"7390";"Приход в кассу: выручка от реализации за 09.03.2025 (наличный расчёт)";"c2";"a2"
"t232";"2025-03-09";"24470";"Зачисление эквайринга/СБП за 09.03.2025 (терминал №1)";"c3";"a3"
"t233";"2025-03-09";"-7400";"Оплата поставки выпечки по накладной №2034 от 09.03.2025";"c4";"a4"
"t234";"2025-03-10";"5790";"Приход в кассу: выручка от реализации за 10.03.2025 (наличный расчёт)";"c2";"a2"
"t235";"2025-03-10";"19180";"Зачисление эквайринга/СБП за 10.03.2025 (терминал №1)";"c3";"a3"
"t236";"2025-03-10";"-25200";"Заработная плата за February 2025 (окончательный расчёт)";"c15";"a15"
"t237";"2025-03-10";"-25200";"Заработная плата за February 2025 (окончательный расчёт)";"c16";"a15"
"t238";"2025-03-10";"-25200";"Заработная плата за February 2025 (окончательный расчёт)";"c17";"a15"
"t239";"2025-03-10";"-25200";"Заработная плата за February 2025 (окончательный расчёт)";"c18";"a15"
"t240";"2025-03-11";"5200";"Приход в кассу: выручка от реализации за 11.03.2025 (наличный расчёт)";"c2";"a2"
"t241";"2025-03-11";"17270";"Зачисление эквайринга/СБП за 11.03.2025 (терминал №1)";"c3";"a3"
"t242";"2025-03-11";"-17700";"Оплата поставки кофе в зёрнах по счёту №1010 от 09.03.2025";"c10";"a10"
"t243";"2025-03-11";"-9000";"Оплата молочной продукции по счёту №520 от 11.03.2025";"c6";"a6"
"t244";"2025-03-11";"-8200";"Оплата поставки выпечки по накладной №2035 от 11.03.2025";"c4";"a4"
"t245";"2025-03-12";"5140";"Приход в кассу: выручка от реализации за 12.03.2025 (наличный расчёт)";"c2";"a2"
"t246";"2025-03-12";"17070";"Зачисление эквайринга/СБП за 12.03.2025 (терминал №1)";"c3";"a3"
"t247";"2025-03-12";"-14400";"Оплата коммунальных услуг за February 2025";"c12";"a12"
"t248";"2025-03-13";"5450";"Приход в кассу: выручка от реализации за 13.03.2025 (наличный расчёт)";"c2";"a2"
